Asset	DateMin	DateMax	TotalDays	DateDiffDays
FINGM24   	2023-12-19	2024-06-19	60	183
FINGU22   	2021-12-21	2022-09-16	37	269
FINGU23   	2023-06-20	2023-09-15	34	87
FINGU24   	2024-02-05	2024-05-23	10	108
FINGZ24   	2024-03-18	2024-06-10	10	84
FJSWM24   	2023-09-28	2024-06-20	118	266
FJSWZ21   	2021-03-29	2021-12-17	139	263
FJSWZ22   	2022-03-21	2022-12-16	151	270
FJSWZ23   	2023-03-24	2023-12-15	159	266
FJSWZ24   	2024-03-18	2024-06-17	19	91
FKGHH22   	2021-06-21	2022-03-18	142	270
FKGHH23   	2022-06-20	2023-03-17	168	270
FKGHH24   	2023-06-20	2024-03-15	158	269
FKGHM22   	2021-09-20	2022-06-17	159	270
FKGHM23   	2022-09-21	2023-06-16	153	268
FKGHM24   	2023-09-19	2024-06-20	141	275
FKGHU21   	2020-12-21	2021-09-17	158	270
FKGHU22   	2021-12-20	2022-09-16	139	270
FKGHU23   	2022-12-23	2023-09-15	141	266
FKGHU24   	2023-12-22	2024-06-20	77	181
FKGHZ24   	2024-03-18	2024-06-20	28	94
FKRUM24   	2023-10-13	2024-06-20	66	251
FKRUZ22   	2022-03-21	2022-12-16	77	270
FKRUZ23   	2023-06-29	2023-12-15	70	169
FKRUZ24   	2024-03-19	2024-03-19	1	0
FKTYH23   	2022-09-19	2023-03-17	60	179
FKTYH24   	2023-08-10	2024-03-15	71	218
FKTYM23   	2023-02-07	2023-06-16	48	129
FKTYM24   	2023-09-20	2024-06-20	103	274
FKTYU23   	2023-02-03	2023-09-15	73	224
FKTYU24   	2023-12-18	2024-06-20	33	185
FLPPH22   	2021-07-23	2022-03-18	99	238
FLPPH23   	2022-07-26	2023-03-17	87	234
FLPPH24   	2023-09-01	2024-03-15	75	196
FLPPM22   	2021-12-09	2022-06-17	87	190
FLPPM23   	2022-12-21	2023-06-16	75	177
FLPPM24   	2023-12-08	2024-06-20	84	195
