Asset	DateMin	DateMax	TotalDays	DateDiffDays
WIG.GAMES5	2022-03-21	2024-06-20	559	822
WIG.MS-BAS	2019-03-18	2024-06-20	1311	1921
WIG.MS-FIN	2019-03-18	2024-06-20	1311	1921
WIG       	2000-11-17	2024-06-20	5897	8616
WIG140    	2021-12-20	2024-06-20	621	913
WIG20     	2000-11-17	2024-06-20	5896	8616
WIG20TR   	2012-12-03	2024-06-20	2872	4217
WIG20TRlev	2023-09-04	2024-06-20	200	290
WIG20TRsht	2023-09-04	2024-06-20	200	290
WIG30     	2013-09-23	2024-06-20	2674	3923
WIG30TR   	2013-09-23	2024-06-20	2674	3923
WIKANA    	2009-03-31	2024-06-20	3390	5560
WIRTUALNA 	2015-05-07	2024-06-20	2274	3332
WITTCHEN  	2015-11-09	2024-06-20	2138	3146
WOODPCKR  	2021-09-14	2024-06-20	688	1010
XPLUS     	2008-05-29	2024-06-20	3790	5866
XTB       	2016-05-17	2024-06-20	2002	2956
XTPL      	2017-09-14	2024-06-20	1685	2471
YARRL     	2023-12-22	2024-06-20	119	181
YOSHI     	2021-04-09	2024-06-20	789	1168
ZAMET     	2011-10-10	2024-06-20	2933	4637
ZEPAK     	2012-10-30	2024-06-20	2895	4251
ZORTRAX   	2021-07-19	2024-06-20	727	1067
ZREMB     	2008-06-11	2024-06-20	3390	5853
ZUE       	2010-11-03	2024-06-20	3274	4978
